year,month,water_area_km2,median_valid_fraction,valid_fraction_any,n_items
2018,1,63.0161,0.5,0.9979087843523464,35
2018,2,63.1451,0.5555555820465088,0.9990385394526063,34
2018,3,63.0246,0.4545454680919647,0.9989746498538332,40
2018,4,61.922,0.4545454680919647,0.9952986605000218,37
2018,5,58.1682,0.3333333432674408,0.963718499311239,40

2018,7,37.939,0.3076923191547394,0.9756066395317672,45
2018,8,27.4979,0.3636363744735718,0.9709146497291704,40
2018,9,18.0967,0.5454545617103577,0.9758481733807882,40
2018,10,17.7611,0.5,0.9874293318706252,39
2018,11,22.1577,0.5454545617103577,0.9648778617865402,40
2018,12,25.7971,0.4000000059604645,0.9776775975017608,34
2019,1,30.9032,0.5454545617103577,0.9851480057095484,37
2019,2,34.7129,0.5,0.9784785549107728,29
2019,3,40.4533,0.4444444477558136,0.9848846558999708,33
2019,4,48.8486,0.3000000119209289,0.9849049135776304,31
2019,5,58.7373,0.5,0.9974241583714074,45
2019,6,61.3812,0.3076923191547394,0.9780515853970192,48
2019,7,61.368,0.5,0.9995777053349372,43
2019,8,62.5113,0.692307710647583,0.9996836685719273,47
2019,9,62.1581,0.5,0.9991725517817408,35
2019,10,62.3965,0.699999988079071,0.9991538523869776,35
2019,11,62.9457,0.4545454680919647,0.9992644904726584,39
2019,12,63.7546,0.3000000119209289,0.999585496749422,34
2020,1,63.8252,0.3846153914928436,0.99961666240736,45
2020,2,63.9247,0.3000000119209289,0.9994888832098134,38
2020,3,63.8253,0.4000000059604645,0.9995870550323188,35
2020,4,63.2236,0.5,0.9995558893743806,45
2020,5,62.8121,0.5384615659713745,0.9962663541790032,46
2020,6,60.0854,0.4166666567325592,0.991616438014623,42
2020,7,44.618,0.3333333432674408,0.9809328504734064,42
2020,8,35.36,0.5454545617103577,0.9777710944755754,38
2020,9,25.1366,0.5454545617103577,0.9745049335236516,39
2020,10,24.5061,0.75,0.9782416959104424,40
2020,11,26.552,0.5454545617103577,0.9688234340815168,38
2020,12,29.8399,0.5,0.9733471293312472,38
2021,1,34.7561,0.5454545617103577,0.9717452145132236,36
2021,2,38.9284,0.6666666865348816,0.9779658798376892,30
2021,3,42.3038,0.5833333134651184,0.987067810238542,40
2021,4,45.2305,0.5833333134651184,0.9787294384571753,41
2021,5,46.7488,0.3333333432674408,0.9710346375122325,41
2021,6,39.7112,0.4545454680919647,0.9443724171460983,38
2021,7,32.3366,0.75,0.9800789114458995,42
2021,8,27.7189,0.9166666865348816,0.9734967244893507,39
2021,9,27.5656,0.8333333134651184,0.9726521351592253,36
2021,10,29.2853,1.0,0.9649557759313857,29
2021,11,31.197,0.800000011920929,0.9698924161487973,36
2021,12,36.4884,0.6666666865348816,0.9749739766756216,44
2022,1,40.5294,0.8333333134651184,0.9989886743999052,39
2022,2,42.8745,0.8888888955116272,0.9977046492928512,47
2022,3,45.003,0.8461538553237915,0.9984292508399145,78
2022,4,46.7235,0.75,1.0,87
2022,5,48.0377,0.8181818127632141,1.0,73
2022,6,39.5233,0.6000000238418579,1.0,41
2022,7,29.3488,0.8333333134651184,1.0,75
2022,8,19.6828,0.5714285969734192,1.0,72
2022,9,26.0387,0.8571428656578064,1.0,57
2022,10,30.3282,0.7777777910232544,1.0,50
2022,11,34.9547,0.8333333134651184,0.9999906503026186,47
2022,12,41.773,0.800000011920929,0.9997132759469686,35
2023,1,47.5037,1.0,0.9999096195919792,63
2023,2,50.0812,0.6000000238418579,0.997378968167397,47
2023,3,54.213,0.7272727489471436,0.9963816671133744,70
2023,4,57.9121,0.9090909361839294,1.0,67
2023,5,59.2922,0.8181818127632141,1.0,56
2023,6,38.2765,0.75,1.0,78
2023,7,50.634,0.692307710647583,1.0,76
2023,8,37.5978,0.8333333134651184,1.0,85
2023,9,48.8135,0.875,1.0,71
2023,10,58.301,1.0,1.0,65
2023,11,58.1757,1.0,0.9999906503026186,55
2023,12,62.8891,0.8571428656578064,1.0,48
2024,1,63.4377,0.625,1.0,34
2024,2,62.8966,0.6363636255264282,1.0,37
2024,3,62.4896,0.7142857313156128,1.0,31
2024,4,62.5786,0.8888888955116272,1.0,44
2024,5,62.6004,0.8461538553237915,1.0,44
2024,6,60.3477,0.6363636255264282,1.0,33
2024,7,51.1394,1.0,1.0,46
2024,8,39.7765,0.5,1.0,40
2024,9,30.6402,1.0,1.0,30
2024,10,27.75,0.8333333134651184,1.0,42
2024,11,31.2473,0.7692307829856873,0.9999781840394433,49
2024,12,37.1642,0.6666666865348816,0.9993860365386174,46
2025,1,44.8278,0.6666666865348816,0.9995652390717621,38
2025,2,48.8437,0.5,0.9995293985651331,36
2025,3,50.6562,0.7142857313156128,0.9997459998878037,47
2025,4,52.1598,0.7857142686843872,0.9999376686841236,50
2025,5,50.1623,0.7692307829856873,1.0,59

2025,7,23.0624,0.692307710647583,1.0,52
2025,8,17.4133,1.0,1.0,42
2025,9,16.4263,0.875,1.0,52
2025,10,18.4153,0.8333333134651184,1.0,53
2025,11,23.5618,0.8888888955116272,1.0,55
2025,12,33.4189,0.8181818127632141,1.0,56
